"tag","timeStamp","duration"
"NA","00:00","0"
"DST_With_Teacher_start","15:07","54"
"DST_With_Teacher_Incorrect","15:25","1"
"DST_With_Teacher_Incorrect","15:26","1"
"DST_With_Teacher_Incorrect","15:28","1"
"DST_With_Teacher_Incorrect","15:29","1"
"DST_With_Teacher_Incorrect","15:44","1"
"DST_With_Teacher_Incorrect","15:47","1"
"DST_With_Teacher_Incorrect","15:57","1"
"DST_With_Teacher_Incorrect","15:58","1"
"DST_With_Teacher_Incorrect","15:59","1"
"DST_With_Teacher_Incorrect","16:00","1"
"DST_With_Teacher_Incorrect","16:01","1"
"Benton_With_Teacher_start","16:08","26"
"DST_Blue_Classroom_start","16:54","51"
"DST_Blue_Classroom_Incorrect","17,43","1"
"DST_Blue_Classroom_Incorrect","17:23","1"
"DST_Blue_Classroom_Incorrect","17:25","1"
"DST_Blue_Classroom_Incorrect","17:26","1"
"DST_Blue_Classroom_Incorrect","17:30","1"
"DST_Blue_Classroom_Incorrect","17:44","1"
"Benton_Blue_Classroom_start","17:51","25"
"DST_Two_Windows_start","20:14","50"
"DST_Two_Windows_Incorrect","20:31","1"
"DST_Two_Windows_Incorrect","20:47","1"
"DST_Two_Windows_Incorrect","20:57","1"
"DST_Two_Windows_Incorrect","20:59","1"
"DST_Two_Windows_Incorrect","21:02","1"
"Benton_Two_Windows_start","21:10","21"
"DST_Red_Classroom_start","21:48","68"
"DST_Red_Classroom_Incorrect","22:18","1"
"DST_Red_Classroom_Incorrect","22:19","1"
"DST_Red_Classroom_Incorrect","22:34","1"
"DST_Red_Classroom_Incorrect","22:35","1"
"DST_Red_Classroom_Incorrect","22:36","1"
"Benton_Red_Classroom_start","22:43","20"
"DST_One_Window_start","25:01","58"
"DST_One_Window_Incorrect","25:17","1"
"DST_One_Window_Incorrect","25:18","1"
"DST_One_Window_Incorrect","25:20","1"
"DST_One_Window_Incorrect","25:33","1"
"DST_One_Window_Incorrect","25:34","1"
"DST_One_Window_Incorrect","25:35","1"
"DST_One_Window_Incorrect","25:36","1"
"DST_One_Window_Incorrect","25:53","1"
"DST_One_Window_Incorrect","25:54","1"
"DST_One_Window_Incorrect","25:56","1"
"DST_One_Window_Incorrect","25:58","1"
"Benton_One_Window_start","26:06","25"
"Stroop_Two_Windows_start","28:52","26"
"PST_Two_Windows_start","29:29","15"
"VMT_Two_Windows_start","29:50","22"
"Stroop_Red_Classroom_start","30:27","27"
"Stroop_Red_Classroom_Incorrect","30:32","1"
"Stroop_Red_Classroom_Incorrect","30:40","1"
"Stroop_Red_Classroom_Incorrect","30:41","1"
"PST_Red_Classroom_start","31:04","16"
"VMT_Red_Classroom_start","31:26","20"
"Stroop_Blue_Classroom_start","36:41","27"
"PST_Blue_Classroom_start","37:18","15"
"PST_Blue_Classroom_Incorrect","37:22","1"
"VMT_Blue_Classroom_start","37:40","20"
"Stroop_One_Window_start","40:01","27"
"PST_One_Window_start","40:39","15"
"VMT_One_Window_start","41:00","23"
"VMT_One_Window_Incorrect","41:15","1"
"Stroop_With_Teacher_start","41:40","28"
"PST_With_Teacher_start","42:19","15"
"VMT_With_Teacher_start","42:40","25"
"Benton_One_Window_Incorrect","NA","1"
"Stroop_One_Window_Incorrect","NA","1"
"PST_One_Window_Incorrect","NA","1"
"Benton_Two_Windows_Incorrect","NA","1"
"Stroop_Two_Windows_Incorrect","NA","1"
"PST_Two_Windows_Incorrect","NA","1"
"VMT_Two_Windows_Incorrect","NA","1"
"Benton_Blue_Classroom_Incorrect","NA","1"
"Stroop_Blue_Classroom_Incorrect","NA","1"
"VMT_Blue_Classroom_Incorrect","NA","1"
"Benton_Red_Classroom_Incorrect","NA","1"
"PST_Red_Classroom_Incorrect","NA","1"
"VMT_Red_Classroom_Incorrect","NA","1"
"Benton_With_Teacher_Incorrect","NA","1"
"Stroop_With_Teacher_Incorrect","NA","1"
"PST_With_Teacher_Incorrect","NA","1"
"VMT_With_Teacher_Incorrect","NA","1"
