Subject Number,File Name,Dataset,Endpoints from Video,Timepoints for Tasks (before removal),Final Channels and Timepoints to Delete,Notes,Notes (Matt & Elita),Notes (Sarah),Notes (Rishitha and Michael),Notes(Kelly),Notes(Claire)                        
22,22_A2.xdf_NeuroArch__0.1Hz_100Hz_CL_Events.set,A2/A3,"392 seconds is the beginning, in EEG time, of A3",,AF7 1900?,,"[0 392, 496 500, 503 509, 516 524, 526 538, 586 612, 616 625, 630 642, 675 679, 696 673, 733 746, 831 841, 890 892, 913 923, 1018 1029, 1033 1044, 1072 1079, 1101 1111, 1114 1124, 1133 1144, 1265 1270, 1345 1348, 1355 1358, 1389 1397, 1509 1512, 1679 1691, 1750 1752, 1791 1794, 1808 1811, 1900 1915, 1971 1982, 2045 2047, 2199 2201,]","[0 392, 495 500, 675 678, 696.2 698.8, 889 891.5, 1267 1268.6","[0 392, 496 500, 675 678, 696 699, 890 891.5, 1267 1268.5 , 1286 1349, 1355 1357, 1393 1396, 1509 1512, 1750.5 1752, 1791.5 1793, 2043 2048, 2200 2201.5] AF7 1900","[0 392, 496 500, 674 678, 696 700, 890 891.5, 1267 1268.5, 1345.5 1347.5, 1355 1356.5, 1393 1396, 1509 1512, 1750.5 1751.5, 1791.5 1793, 1808.5  1810, 1900 1915, 2045.5 2046.5,  2199 2101, ]",
6,,,"Video A2 start = 1:25, Video A2 end = 7:06, Duration = 341 seconds","DST_One_start []  (duration  seconds), BT_One_start []  (duration  seconds), ST_One_start []  (duration  seconds), PST_One_start []  (duration  seconds), VMT_One_start [] (duration  seconds), ",,,,,,,
,,,,"DST_Two_start []  (duration  seconds), BT_Two_start []  (duration  seconds), ST_Two_start []  (duration  seconds), PST_Two_start []  (duration  seconds), VMT_Two_start [] (duration  seconds), ",,,,,,,
,,,,"DST_Blue_start []  (duration  seconds), BT_Blue_start []  (duration  seconds), ST_Blue_start []  (duration  seconds), PST_Blue_start []  (duration  seconds), VMT_Blue_start [] (duration  seconds), ",,,,,,,
,,,,"DST_Red_start []  (duration  seconds), BT_Red_start []  (duration  seconds), ST_Red_start []  (duration  seconds), PST_Red_start []  (duration  seconds), VMT_Red_start [] (duration  seconds), ",,,,,,,
,,,,"DST_Teach_start []  (duration  seconds), BT_Teach_start []  (duration  seconds), ST_Teach_start []  (duration  seconds), PST_Teach_start []  (duration  seconds), VMT_Teach_start [] (duration  seconds), ",,,,,,,
,,,,"DST_Narrow_start []  (duration  seconds), BT_Narrow_start []  (duration  seconds), ST_Narrow_start []  (duration  seconds), PST_Narrow_start []  (duration  seconds), VMT_Narrow_start [] (duration  seconds), ",,,,,,,
,,,,"DST_Green_start []  (duration  seconds), BT_Green_start []  (duration  seconds), ST_Green_start []  (duration  seconds), PST_Green_start []  (duration  seconds), VMT_Green_start [] (duration  seconds), ",,,,,,,
,,,,"DST_Wide_start []  (duration  seconds), BT_Wide_start []  (duration  seconds), ST_Wide_start []  (duration  seconds), PST_Wide_start []  (duration  seconds), VMT_Wide_start [] (duration  seconds), ",,,,,,,
,,,,"DST_Bar_start []  (duration  seconds), BT_Bar_start []  (duration  seconds), ST_Bar_start []  (duration  seconds), PST_Bar_start []  (duration  seconds), VMT_Bar_start [] (duration  seconds), ",,,,,,,
