"tag","timeStamp","duration"
"NA","00:00","0"
"DST_Red_Start","00:13:26","58"
"DST_Red_Incorrect","00:14:14","1"
"DST_Red_Incorrect","00:14:21","1"
"DST_Red_Incorrect","00:14:22","1"
"DST_Red_Incorrect","00:14:23","1"
"BT_Red_Start","00:14:31","28"
"DST_Teach_Start","00:15:25","62"
"DST_Teach_Incorrect","00:16:15","1"
"DST_Teach_Incorrect","00:16:25","1"
"BT_Teach_Start","00:16:35","41"
"BT_Teach_Incorrect","00:17:10","1"
"DST_Two_Start","00:17:36","60"
"DST_Two_Incorrect","00:18:14","1"
"DST_Two_Incorrect","00:18:15","1"
"DST_Two_Incorrect","00:18:26","1"
"DST_Two_Incorrect","00:18:34","1"
"BT_Two_Start","00:18:47","26"
"DST_Blue_Start","00:19:35","65"
"DST_Blue_Incorrect","00:20:29","1"
"DST_Blue_Incorrect","00:20:33","1"
"DST_Blue_Incorrect","00:20:34","1"
"DST_Blue_Incorrect","00:20:37","1"
"BT_Blue_Start","00:20:49","27"
"DST_One_Start","00:21:36","54"
"DST_One_Incorrect","00:22:09","1"
"DST_One_Incorrect","00:22:13","1"
"DST_One_Incorrect","00:22:13","1"
"DST_One_Incorrect","00:22:14","1"
"DST_One_Incorrect","00:22:24","1"
"DST_One_Incorrect","00:22:30","1"
"BT_One_Start","00:22:40","24"
"ST_Two_Start","00:28:18","26"
"ST_Two_Incorrect","00:28:40","1"
"PST_Two_Start","00:28:56","15"
"VMT_Two_Start","00:29:18","47"
"ST_One_Start","00:30:16","27"
"ST_One_Incorrect","00:30:22","1"
"ST_One_Incorrect","00:30:25","1"
"ST_One_Incorrect","00:30:37","1"
"ST_One_Incorrect","00:30:39","1"
"ST_One_Incorrect","00:30:41","1"
"PST_One_Start","00:30:53","16"
"VMT_One_Start","00:31:20","48"
"VMT_One_Incorrect","00:31:59","1"
"VMT_One_Incorrect","00:32:01","1"
"VMT_One_Incorrect","00:32:02","1"
"VMT_One_Incorrect","00:32:03","1"
"VMT_One_Incorrect","00:32:04","1"
"VMT_One_Incorrect","00:32:05","1"
"VMT_One_Incorrect","00:32:05","1"
"VMT_One_Incorrect","00:32:06","1"
"ST_Teach_Start","00:32:22","16"
"ST_Teach_Incorrect","00:32:26","1"
"ST_Teach_Incorrect","00:32:27","1"
"ST_Teach_Incorrect","00:32:32","1"
"ST_Teach_Incorrect","00:32:36","1"
"ST_Teach_Incorrect","00:32:45","1"
"ST_Teach_Incorrect","00:32:48","1"
"PST_Teach_Start","00:33:00","16"
"VMT_Teach_Start","00:33:23","27"
"ST_Blue_Start","00:34:04","27"
"ST_Blue_Incorrect","00:34:08","1"
"ST_Blue_Incorrect","00:34:11","1"
"ST_Blue_Incorrect","00:34:12","1"
"ST_Blue_Incorrect","00:34:18","1"
"ST_Blue_Incorrect","00:34:23","1"
"ST_Blue_Incorrect","00:34:28","1"
"PST_Blue_Start","00:34:40","17"
"PST_Blue_Incorrect","00:34:49","1"
"VMT_Blue_Start","00:35:04","37"
"VMT_Blue_Incorrect","00:35:09","1"
"VMT_Blue_Incorrect","00:35:17","1"
"VMT_Blue_Incorrect","00:35:31","1"
"VMT_Blue_Incorrect","00:35:34","1"
"VMT_Blue_Incorrect","00:35:36","1"
"VMT_Blue_Incorrect","00:35:37","1"
"VMT_Blue_Incorrect","00:35:38","1"
"VMT_Blue_Incorrect","00:35:39","1"
"VMT_Blue_Incorrect","00:35:40","1"
"ST_Red_Start","00:35:57","27"
"ST_Red_Incorrect","00:35:58","1"
"ST_Red_Incorrect","00:36:01","1"
"ST_Red_Incorrect","00:36:02","1"
"ST_Red_Incorrect","00:36:04","1"
"ST_Red_Incorrect","00:36:08","1"
"ST_Red_Incorrect","00:36:15","1"
"ST_Red_Incorrect","00:36:17","1"
"ST_Red_Incorrect","00:36:19","1"
"ST_Red_Incorrect","00:36:21","1"
"PST_Red_Start","00:36:36","15"
"VMT_Red_Start","00:36:58","29"
"BT_One_Incorrect","00:all correct","1"
"PST_One_Incorrect","00:all correct","1"
"BT_Two_Incorrect","00:all correct","1"
"PST_Two_Incorrect","00:all correct","1"
"VMT_Two_Incorrect","00:all correct","1"
"BT_Blue_Incorrect","00:all correct","1"
"BT_Red_Incorrect","00:all correct","1"
"PST_Red_Incorrect","00:all correct","1"
"VMT_Red_Incorrect","00:all correct","1"
"PST_Teach_Incorrect","00:all correct","1"
"VMT_Teach_Incorrect","00:all correct","1"
