"tag","timeStamp","duration"
"NA","00:00","0"
"DST_Red_Classroom_start","11:50","68"
"DST_Red_Classroom_Incorrect","12:26","1"
"DST_Red_Classroom_Incorrect","12:30","1"
"DST_Red_Classroom_Incorrect","12:42","1"
"Benton_Red_Classroom_start","13:05","27"
"DST_Blue_Classroom_start","13:52","66"
"DST_Blue_Classroom_Incorrect","14:15","1"
"DST_Blue_Classroom_Incorrect","14:16","1"
"DST_Blue_Classroom_Incorrect","14:26","1"
"DST_Blue_Classroom_Incorrect","14:36","1"
"DST_Blue_Classroom_Incorrect","14:47","1"
"DST_Blue_Classroom_Incorrect","14:56","1"
"Benton_Blue_Classroom_start","15:04","28"
"DST_With_Teacher_start","17:36","61"
"DST_With_Teacher_Incorrect","18:15","1"
"DST_With_Teacher_Incorrect","18:29","1"
"DST_With_Teacher_Incorrect","18:36","1"
"Benton_With_Teacher_start","18:43","31"
"DST_One_Window_start","23:07","56"
"DST_One_Window_Incorrect","23:52","1"
"DST_One_Window_Incorrect","24:02","1"
"Benton_One_Window_start","24:10","20"
"DST_Two_Windows_start","26:36","66"
"DST_Two_Windows_Incorrect","26:59","1"
"DST_Two_Windows_Incorrect","27:02","1"
"DST_Two_Windows_Incorrect","27:29","1"
"DST_Two_Windows_Incorrect","27:35","1"
"DST_Two_Windows_Incorrect","27:37","1"
"DST_Two_Windows_Incorrect","27:41","1"
"Benton_Two_Windows_start","27:48","19"
"Stroop_Two_Windows_start","29:30","27"
"PST_Two_Windows_start","30:07","15"
"VMT_Two_Windows_start","30:29","30"
"VMT_Two_Windows_Incorrect","30:48","1"
"Stroop_Red_Classroom_start","31:22","27"
"Stroop_Red_Classroom_Incorrect","31:28","1"
"Stroop_Red_Classroom_Incorrect","31:36","1"
"Stroop_Red_Classroom_Incorrect","31:40","1"
"PST_Red_Classroom_start","31:59","16"
"VMT_Red_Classroom_start","32:21","31"
"Stroop_Blue_Classroom_start","34:46","27"
"PST_Blue_Classroom_start","35:24","16"
"VMT_Blue_Classroom_start","35:46","28"
"Stroop_With_Teacher_start","38:11","26"
"Stroop_With_Teacher_Incorrect","38:15","1"
"Stroop_With_Teacher_Incorrect","38:21","1"
"Stroop_With_Teacher_Incorrect","38:29","1"
"PST_With_Teacher_start","38:48","15"
"VMT_With_Teacher_start","39:09","28"
"Stroop_One_Window_start","43:22","25"
"PST_One_Window_start","43:59","15"
"VMT_One_Window_start","44:21","26"
"Benton:_One_Window_Incorrect",NA,"1"
"Stroop:_One_Window_Incorrect",NA,"1"
"PST:_One_Window_Incorrect",NA,"1"
"VMT:_One_Window_Incorrect",NA,"1"
"Benton:_Two_Windows_Incorrect",NA,"1"
"Stroop:_Two_Windows_Incorrect",NA,"1"
"PST:_Two_Windows_Incorrect",NA,"1"
"Benton:_Blue_Classroom_Incorrect",NA,"1"
"Stroop:_Blue_Classroom_Incorrect",NA,"1"
"PST:_Blue_Classroom_Incorrect",NA,"1"
"VMT:_Blue_Classroom_Incorrect",NA,"1"
"Benton:_Red_Classroom_Incorrect",NA,"1"
"PST:_Red_Classroom_Incorrect",NA,"1"
"VMT:_Red_Classroom_Incorrect",NA,"1"
"Benton:_With_Teacher_Incorrect",NA,"1"
"PST:_With_Teacher_Incorrect",NA,"1"
"VMT:_With_Teacher_Incorrect",NA,"1"
